dataset_id,version,raw_object_id,filter_type,filter_reason,fragmentation_group_id,related_raw_object_ids,fragmentation_score,quality_score,start_frame,end_frame,total_frames,class_name_mode
cao_qiao_001,full,6,short_track_filter,track_duration_too_short,,,,69.8717,0,95,96,car
cao_qiao_001,full,7,short_track_filter,track_duration_too_short,,,,11.5430,0,15,16,car
cao_qiao_001,full,9,short_track_filter,track_duration_too_short,,,,85.7912,0,114,115,car
cao_qiao_001,full,20,missing_ratio_filter,missing_ratio_exceeded,,,,19.4027,0,117,54,car
cao_qiao_001,full,27,missing_ratio_filter,missing_ratio_exceeded,,,,13.5651,1,52,26,car
cao_qiao_001,full,30,short_track_filter,track_duration_too_short,,,,0.3035,27,27,1,van
cao_qiao_001,full,40,missing_ratio_filter,missing_ratio_exceeded,,,,8.0891,168,215,20,car
cao_qiao_001,full,41,missing_ratio_filter,missing_ratio_exceeded,,,,69.1346,219,535,185,car
cao_qiao_001,full,42,missing_ratio_filter,missing_ratio_exceeded,,,,2.2223,197,236,7,van
cao_qiao_001,full,53,missing_ratio_filter,missing_ratio_exceeded,,,,100.9971,316,699,193,car
cao_qiao_001,full,67,short_track_filter,track_duration_too_short,,,,20.4163,500,544,39,car
cao_qiao_001,full,78,missing_ratio_filter,missing_ratio_exceeded,,,,8.3411,594,651,24,car
cao_qiao_001,full,100,missing_ratio_filter,missing_ratio_exceeded,,,,23.3484,791,902,41,car
cao_qiao_001,full,109,missing_ratio_filter,missing_ratio_exceeded,,,,58.2006,856,1253,160,car
cao_qiao_001,full,129,missing_ratio_filter,missing_ratio_exceeded,,,,10.0785,1126,1286,31,van
cao_qiao_001,full,131,short_track_filter,track_duration_too_short,,,,4.4872,1187,1203,14,car
cao_qiao_001,full,138,short_track_filter,track_duration_too_short,,,,1.1073,1311,1313,3,car
cao_qiao_001,full,146,missing_ratio_filter,missing_ratio_exceeded,,,,37.0231,1384,1716,103,car
cao_qiao_001,full,153,missing_ratio_filter,missing_ratio_exceeded,,,,1.5663,1523,1568,5,van
cao_qiao_001,full,155,short_track_filter,track_duration_too_short,,,,7.5610,1536,1561,23,car
cao_qiao_001,full,164,short_track_filter,track_duration_too_short,,,,0.6007,1656,1656,1,car
cao_qiao_001,full,165,short_track_filter,track_duration_too_short,,,,0.4367,1656,1656,1,car
cao_qiao_001,full,166,short_track_filter,track_duration_too_short,,,,0.3707,1656,1656,1,car
cao_qiao_001,full,168,short_track_filter,track_duration_too_short,,,,0.4854,1656,1656,1,car
cao_qiao_001,full,178,missing_ratio_filter,missing_ratio_exceeded,,,,0.6322,1668,1694,2,van
cao_qiao_001,full,184,missing_ratio_filter,missing_ratio_exceeded,,,,493.9828,1793,4367,1354,car
cao_qiao_001,full,187,missing_ratio_filter,missing_ratio_exceeded,,,,3.8248,1825,1876,12,van
cao_qiao_001,full,188,missing_ratio_filter,missing_ratio_exceeded,,,,1.2316,1836,1842,4,car
cao_qiao_001,full,196,short_track_filter,track_duration_too_short,,,,0.3087,2102,2102,1,truck
cao_qiao_001,full,198,missing_ratio_filter,missing_ratio_exceeded,,,,11.5513,2131,2185,30,car
cao_qiao_001,full,199,missing_ratio_filter,missing_ratio_exceeded,,,,19.3182,2154,2364,58,van
cao_qiao_001,full,205,missing_ratio_filter,missing_ratio_exceeded,,,,0.6243,2208,2244,2,car
cao_qiao_001,full,207,missing_ratio_filter,missing_ratio_exceeded,,,,17.2403,2249,2379,45,car
cao_qiao_001,full,220,missing_ratio_filter,missing_ratio_exceeded,,,,6.3091,2442,2493,19,van
cao_qiao_001,full,225,missing_ratio_filter,missing_ratio_exceeded,,,,45.3336,2523,2757,115,car
cao_qiao_001,full,232,short_track_filter,track_duration_too_short,,,,0.9253,2555,2557,3,car
cao_qiao_001,full,237,missing_ratio_filter,missing_ratio_exceeded,,,,3.6377,2655,2712,11,van
cao_qiao_001,full,263,short_track_filter,track_duration_too_short,,,,0.3139,3139,3139,1,van
cao_qiao_001,full,285,short_track_filter,track_duration_too_short,,,,1.2745,3556,3559,4,van
cao_qiao_001,full,288,short_track_filter,track_duration_too_short,,,,0.3039,3542,3542,1,car
cao_qiao_001,full,303,missing_ratio_filter,missing_ratio_exceeded,,,,58.9045,3742,4069,132,car
cao_qiao_001,full,304,missing_ratio_filter,missing_ratio_exceeded,,,,12.1072,3749,3842,38,van
cao_qiao_001,full,324,missing_ratio_filter,missing_ratio_exceeded,,,,2.9080,4001,4109,9,van
cao_qiao_001,full,339,missing_ratio_filter,missing_ratio_exceeded,,,,21.9214,4165,4266,43,car
cao_qiao_001,full,346,short_track_filter,track_duration_too_short,,,,5.0227,4226,4247,16,car
cao_qiao_001,full,349,missing_ratio_filter,missing_ratio_exceeded,,,,9.3646,4258,4423,29,truck
cao_qiao_001,full,369,short_track_filter,track_duration_too_short,,,,1.5337,4532,4536,5,car
cao_qiao_001,full,375,missing_ratio_filter,missing_ratio_exceeded,,,,4.9686,4607,4653,15,van
cao_qiao_001,full,391,short_track_filter,track_duration_too_short,,,,14.5251,4880,4922,43,van
cao_qiao_001,full,409,missing_ratio_filter,missing_ratio_exceeded,,,,16.8958,4979,5060,40,car
cao_qiao_001,full,434,short_track_filter,track_duration_too_short,,,,0.9107,5175,5176,2,car
cao_qiao_001,full,456,missing_ratio_filter,missing_ratio_exceeded,,,,53.9022,5404,5778,108,car
cao_qiao_001,full,458,missing_ratio_filter,missing_ratio_exceeded,,,,2.0511,5445,5455,6,car
cao_qiao_001,full,479,missing_ratio_filter,missing_ratio_exceeded,,,,31.9444,5725,5894,94,car
cao_qiao_001,full,492,missing_ratio_filter,missing_ratio_exceeded,,,,0.9079,5864,5869,2,car
cao_qiao_001,full,505,short_track_filter,track_duration_too_short,,,,0.6536,5943,5944,2,car
cao_qiao_001,full,512,missing_ratio_filter,missing_ratio_exceeded,,,,35.9045,6010,6253,87,car
cao_qiao_001,full,514,missing_ratio_filter,missing_ratio_exceeded,,,,23.3394,6020,6152,65,car
cao_qiao_001,full,536,missing_ratio_filter,missing_ratio_exceeded,,,,7.1128,6201,6249,22,car
cao_qiao_001,full,559,missing_ratio_filter,missing_ratio_exceeded,,,,2.4619,6565,6587,7,car
cao_qiao_001,full,566,missing_ratio_filter,missing_ratio_exceeded,,,,18.3515,6653,6932,58,car
cao_qiao_001,full,625,short_track_filter,track_duration_too_short,,,,0.3135,7434,7434,1,car
cao_qiao_001,full,683,short_track_filter,track_duration_too_short,,,,41.3163,7861,7944,81,car
cao_qiao_001,full,701,missing_ratio_filter,missing_ratio_exceeded,,,,13.3245,8002,8072,41,car
cao_qiao_001,full,713,short_track_filter,track_duration_too_short,,,,0.6436,8064,8065,2,car
cao_qiao_001,full,737,missing_ratio_filter,missing_ratio_exceeded,,,,11.4482,8299,8393,35,car
cao_qiao_001,full,780,short_track_filter,track_duration_too_short,,,,0.6483,8695,8696,2,car
cao_qiao_001,full,793,missing_ratio_filter,missing_ratio_exceeded,,,,8.4132,8792,8921,23,car
cao_qiao_001,full,802,short_track_filter,track_duration_too_short,,,,97.6834,8878,9021,144,van
cao_qiao_001,full,100021,short_track_filter,track_duration_too_short,,,,3.6641,0,6,7,pedestrian
cao_qiao_001,full,100024,missing_ratio_filter,missing_ratio_exceeded,,,,35.8394,0,304,68,motor
cao_qiao_001,full,100025,missing_ratio_filter,missing_ratio_exceeded,,,,21.0925,0,107,45,tricycle
cao_qiao_001,full,100026,missing_ratio_filter,missing_ratio_exceeded,,,,36.8697,0,131,77,pedestrian
cao_qiao_001,full,100028,short_track_filter,track_duration_too_short,,,,2.2833,1,6,5,pedestrian
cao_qiao_001,full,100032,missing_ratio_filter,missing_ratio_exceeded,,,,44.1934,45,183,81,motor
cao_qiao_001,full,100035,missing_ratio_filter,missing_ratio_exceeded,,,,18.4657,118,214,43,motor
cao_qiao_001,full,100038,short_track_filter,track_duration_too_short,,,,2.5036,157,162,6,tricycle
cao_qiao_001,full,100039,missing_ratio_filter,missing_ratio_exceeded,,,,1.2201,165,185,3,people
cao_qiao_001,full,100043,missing_ratio_filter,missing_ratio_exceeded,,,,2.5316,215,327,6,pedestrian
cao_qiao_001,full,100044,short_track_filter,track_duration_too_short,,,,1.6964,213,216,4,pedestrian
cao_qiao_001,full,100049,short_track_filter,track_duration_too_short,,,,0.5079,281,281,1,pedestrian
cao_qiao_001,full,100054,missing_ratio_filter,missing_ratio_exceeded,,,,4.0240,291,334,9,tricycle
cao_qiao_001,full,100061,missing_ratio_filter,missing_ratio_exceeded,,,,3.1847,422,434,7,pedestrian
cao_qiao_001,full,100071,short_track_filter,track_duration_too_short,,,,0.9868,529,530,2,people
cao_qiao_001,full,100073,missing_ratio_filter,missing_ratio_exceeded,,,,34.5448,554,763,74,motor
cao_qiao_001,full,100076,missing_ratio_filter,missing_ratio_exceeded,,,,13.7251,565,672,21,motor
cao_qiao_001,full,100083,missing_ratio_filter,missing_ratio_exceeded,,,,32.9730,622,902,75,motor
cao_qiao_001,full,100084,missing_ratio_filter,missing_ratio_exceeded,,,,6.0835,631,693,12,pedestrian
cao_qiao_001,full,100086,missing_ratio_filter,missing_ratio_exceeded,,,,4.2820,644,732,10,pedestrian
cao_qiao_001,full,100094,short_track_filter,track_duration_too_short,,,,0.4680,736,736,1,pedestrian
cao_qiao_001,full,100099,missing_ratio_filter,missing_ratio_exceeded,,,,23.5972,772,886,38,motor
cao_qiao_001,full,100101,short_track_filter,track_duration_too_short,,,,7.6980,796,810,15,pedestrian
cao_qiao_001,full,100111,short_track_filter,track_duration_too_short,,,,0.8656,873,874,2,pedestrian
cao_qiao_001,full,100116,short_track_filter,track_duration_too_short,,,,1.1500,950,952,3,pedestrian
cao_qiao_001,full,100119,missing_ratio_filter,missing_ratio_exceeded,,,,4.6493,976,1013,10,pedestrian
cao_qiao_001,full,100124,short_track_filter,track_duration_too_short,,,,0.3753,1088,1088,1,pedestrian
cao_qiao_001,full,100126,missing_ratio_filter,missing_ratio_exceeded,,,,159.8593,1104,1676,320,motor
cao_qiao_001,full,100130,short_track_filter,track_duration_too_short,,,,16.8901,1146,1203,38,motor
cao_qiao_001,full,100142,missing_ratio_filter,missing_ratio_exceeded,,,,9.9375,1330,1377,24,motor
cao_qiao_001,full,100162,short_track_filter,track_duration_too_short,,,,1.4824,1648,1650,3,motor
cao_qiao_001,full,100181,missing_ratio_filter,missing_ratio_exceeded,,,,1.6736,1698,1717,4,pedestrian
cao_qiao_001,full,100185,missing_ratio_filter,missing_ratio_exceeded,,,,1.3085,1789,1799,3,pedestrian
cao_qiao_001,full,100191,short_track_filter,track_duration_too_short,,,,0.4553,1924,1924,1,pedestrian
cao_qiao_001,full,100194,missing_ratio_filter,missing_ratio_exceeded,,,,11.6925,1986,2068,28,motor
cao_qiao_001,full,100200,short_track_filter,track_duration_too_short,,,,0.3625,2171,2171,1,pedestrian
cao_qiao_001,full,100202,short_track_filter,track_duration_too_short,,,,0.9248,2181,2182,2,pedestrian
cao_qiao_001,full,100203,short_track_filter,track_duration_too_short,,,,1.6141,2204,2207,4,pedestrian
cao_qiao_001,full,100215,short_track_filter,track_duration_too_short,,,,0.3722,2336,2336,1,motor
cao_qiao_001,full,100223,short_track_filter,track_duration_too_short,,,,3.5617,2463,2470,8,pedestrian
