recordingId,trackId,lane_id,frame,trackLifetime,xCenter,yCenter,heading,width,length,xVelocity,yVelocity,xAcceleration,yAcceleration,lonVelocity,latVelocity,lonAcceleration,latAcceleration,centerX,centerY
001,1,5,0,1,-63.0151,45.5397,129.76,1.4917,3.2434,5.8308,-4.9906,-0.0311,0.7225,7.6742,-0.1072,-0.4861,0.5355,-63.0151,45.5397
001,1,5,1,2,-62.8206,45.3732,129.64,1.4917,3.2434,5.8298,-4.9665,-0.0467,1.0838,7.6578,-0.1051,-0.7274,0.8048,-62.8206,45.3732
001,1,5,2,3,-62.6261,45.2083,129.54,1.4917,3.2434,5.8277,-4.9183,-0.0623,1.4451,7.6252,-0.0834,-0.9679,1.0748,-62.6261,45.2083
001,1,5,3,4,-62.4317,45.0450,129.37,1.4917,3.2434,5.8256,-4.8700,-0.0623,1.4451,7.5928,-0.0689,-0.9649,1.0775,-62.4317,45.0450
001,1,5,4,5,-62.2373,44.8833,129.22,1.4917,3.2434,5.8235,-4.8218,-0.0623,1.4451,7.5605,-0.0535,-0.9620,1.0802,-62.2373,44.8833
001,1,5,5,6,-62.0430,44.7232,129.10,1.4917,3.2434,5.8215,-4.7736,-0.0623,1.4451,7.5283,-0.0333,-0.9597,1.0822,-62.0430,44.7232
001,1,5,6,7,-61.8488,44.5647,128.93,1.4917,3.2434,5.8194,-4.7254,0.3439,0.9268,7.4963,-0.0192,-0.3149,0.9371,-61.8488,44.5647
001,1,5,7,8,-61.6547,44.4078,128.85,1.4917,3.2434,5.8444,-4.7118,0.1246,0.7404,7.5072,-0.0029,-0.3674,0.6548,-61.6547,44.4078
001,1,5,8,9,-61.4588,44.2503,128.65,1.4917,3.2434,5.8277,-4.6760,-0.2231,1.6548,7.4717,-0.0124,-1.2077,1.1531,-61.4588,44.2503
001,1,5,9,10,-61.2658,44.0958,128.54,1.4917,3.2434,5.8295,-4.6013,0.6943,1.8683,7.4266,0.0330,-0.6209,1.8939,-61.2658,44.0958
001,1,5,10,11,-61.0698,43.9432,128.43,1.4917,3.2434,5.8740,-4.5513,-0.0816,1.5382,7.4304,0.0856,-1.0200,1.1543,-61.0698,43.9432
001,1,5,11,12,-60.8738,43.7921,128.35,1.4917,3.2434,5.8241,-4.4987,-0.2741,1.3401,7.3587,0.0858,-1.0465,0.8809,-60.8738,43.7921
001,1,5,12,13,-60.6811,43.6430,128.32,1.4917,3.2434,5.8557,-4.4619,-0.3166,1.0772,7.3608,0.1308,-0.9163,0.6487,-60.6811,43.6430
001,1,5,13,14,-60.4830,43.4943,128.38,1.4917,3.2434,5.8030,-4.4268,-2.9997,1.2531,7.2975,0.1323,-3.1296,-0.8800,-60.4830,43.4943
001,1,5,14,15,-60.2939,43.3476,128.42,1.4917,3.2434,5.6556,-4.3783,0.2786,-2.4841,7.1517,0.0838,1.7619,-1.7732,-60.2939,43.3476
001,1,5,15,16,-60.1056,43.2021,128.47,1.4917,3.2434,5.8215,-4.5926,4.1561,-5.5457,7.4149,0.0256,6.7038,-1.7567,-60.1056,43.2021
001,1,5,16,17,-59.9054,43.0411,128.56,1.4917,3.2434,5.9329,-4.7483,1.0340,-1.6649,7.5991,-0.0151,1.8463,-0.6574,-59.9054,43.0411
001,1,5,17,18,-59.7097,42.8853,128.77,1.4917,3.2434,5.8905,-4.7037,-0.8197,0.0821,7.5381,0.0212,-0.6906,-0.4493,-59.7097,42.8853
001,1,5,18,19,-59.5123,42.7272,129.00,1.4917,3.2434,5.8782,-4.7429,-1.9637,-0.7625,7.5530,0.0128,-1.0464,-1.8283,-59.5123,42.7272
001,1,5,19,20,-59.3174,42.5688,129.22,1.4917,3.2434,5.7595,-4.7546,-1.9789,-0.4715,7.4683,-0.0423,-1.2350,-1.6165,-59.3174,42.5688
001,1,5,20,21,-59.1279,42.4099,129.51,1.4917,3.2434,5.7461,-4.7743,0.5723,-0.3772,7.4707,-0.0279,0.6815,0.0731,-59.1279,42.4099
001,1,5,21,22,-58.9340,42.2501,129.69,1.4917,3.2434,5.7977,-4.7797,-1.8214,1.4344,7.5139,0.0240,-2.3177,-0.0593,-58.9340,42.2501
001,1,5,22,23,-58.7410,42.0910,129.96,1.4917,3.2434,5.6246,-4.6786,-2.8952,0.1281,7.3161,0.0263,-2.3014,-1.7613,-58.7410,42.0910
001,1,5,23,24,-58.5586,41.9379,130.17,1.4917,3.2434,5.6045,-4.7712,1.5032,-3.9180,7.3603,-0.0307,3.6760,-2.0242,-58.5586,41.9379
001,1,5,24,25,-58.3670,41.7726,130.43,1.4917,3.2434,5.7249,-4.9401,1.3235,-2.1504,7.5615,-0.0474,2.4021,-0.7785,-58.3670,41.7726
001,1,5,25,26,-58.1766,41.6083,130.64,1.4917,3.2434,5.6928,-4.9147,-1.2552,0.7766,7.5208,-0.0220,-1.4583,-0.2282,-58.1766,41.6083
001,1,5,26,27,-57.9871,41.4446,130.86,1.4917,3.2434,5.6411,-4.8882,-2.6079,2.5269,7.4644,-0.0060,-3.6255,0.2047,-57.9871,41.4446
001,1,5,27,28,-57.8001,41.2821,131.03,1.4917,3.2434,5.5188,-4.7461,-4.0519,3.1878,7.2787,0.0426,-5.1492,-0.2552,-57.8001,41.2821
001,1,5,28,29,-57.6188,41.1279,131.29,1.4917,3.2434,5.3708,-4.6755,-2.4622,-0.4200,7.1207,0.0304,-1.5730,-1.9402,-57.6188,41.1279
001,1,5,29,30,-57.4417,40.9700,131.62,1.4917,3.2434,5.3545,-4.7741,0.3460,-2.6561,7.1737,-0.0128,2.0228,-1.7558,-57.4417,40.9700
001,1,5,30,31,-57.2615,40.8093,131.91,1.4917,3.2434,5.3938,-4.8528,2.2354,-2.3262,7.2555,-0.0091,3.2174,-0.2383,-57.2615,40.8093
001,1,5,31,32,-57.0818,40.6462,132.16,1.4917,3.2434,5.5036,-4.9293,3.3095,-2.6651,7.3883,0.0401,4.2420,0.2458,-57.0818,40.6462
001,1,5,32,33,-56.8943,40.4803,132.33,1.4917,3.2434,5.6147,-5.0306,1.4748,-2.3799,7.5384,0.0624,2.6930,-0.7662,-56.8943,40.4803
001,1,5,33,34,-56.7071,40.3105,132.39,1.4917,3.2434,5.6021,-5.0882,-0.8523,-1.2770,7.5678,0.0183,0.2313,-1.5178,-56.7071,40.3105
001,1,5,34,35,-56.5204,40.1408,132.51,1.4917,3.2434,5.5578,-5.1158,-3.7945,-0.0543,7.5539,-0.0151,-2.7603,-2.6043,-56.5204,40.1408
001,1,5,35,36,-56.3362,39.9691,132.63,1.4917,3.2434,5.3488,-5.0918,-6.1848,1.7174,7.3838,-0.1242,-5.7138,-2.9248,-56.3362,39.9691
001,1,5,36,37,-56.1635,39.8010,132.77,1.4917,3.2434,5.1451,-5.0012,-1.4867,-0.2496,7.1730,-0.1775,-0.9219,-1.1928,-56.1635,39.8010
001,1,5,37,38,-55.9928,39.6353,132.85,1.4917,3.2434,5.2496,-5.1084,3.1777,-1.8875,7.3228,-0.1749,3.6133,0.7773,-55.9928,39.6353
001,1,5,38,39,-55.8131,39.4601,132.91,1.4917,3.2434,5.3571,-5.1272,1.3379,3.5993,7.4145,-0.1078,-1.4707,3.5471,-55.8131,39.4601
001,1,5,39,40,-55.6353,39.2932,133.04,1.4917,3.2434,5.3389,-4.8682,-1.6905,5.7251,7.2247,0.0853,-5.1428,3.0309,-55.6353,39.2932
001,1,5,40,41,-55.4569,39.1352,133.14,1.4917,3.2434,5.2443,-4.7451,-2.1075,1.8872,7.0713,0.1237,-2.8283,-0.0641,-55.4569,39.1352
001,1,5,41,42,-55.2854,38.9765,133.26,1.4917,3.2434,5.1983,-4.7423,-0.1184,-1.7511,7.0356,0.1091,1.1139,-1.3564,-55.2854,38.9765
001,1,5,42,43,-55.1100,38.8187,133.39,1.4917,3.2434,5.2364,-4.8620,2.4673,-4.6940,7.1453,0.0636,5.0175,-1.7165,-55.1100,38.8187
001,1,5,43,44,-54.9359,38.6521,133.41,1.4917,3.2434,5.3629,-5.0555,4.5321,-4.4404,7.3702,0.0127,6.3439,-0.1114,-54.9359,38.6521
001,1,5,44,45,-54.7521,38.4814,133.44,1.4917,3.2434,5.5389,-5.1583,3.2034,-2.5324,7.5686,0.0630,4.0673,0.3639,-54.7521,38.4814
001,1,5,45,46,-54.5663,38.3078,133.50,1.4917,3.2434,5.5767,-5.2245,0.5324,-1.7788,7.6415,0.0488,1.6106,-0.9238,-54.5663,38.3078
001,1,5,46,47,-54.3799,38.1327,133.69,1.4917,3.2434,5.5744,-5.2770,-1.1320,-0.7176,7.6759,0.0350,-0.3228,-1.3009,-54.3799,38.1327
001,1,5,47,48,-54.1943,37.9557,134.06,1.4917,3.2434,5.5011,-5.2724,-2.9882,0.4445,7.6197,0.0373,-2.4564,-1.7588,-54.1943,37.9557
001,1,5,48,49,-54.0128,37.7809,134.48,1.4917,3.2434,5.3750,-5.2474,-4.7569,2.3246,7.5116,0.0221,-5.0228,-1.6745,-54.0128,37.7809
001,1,5,49,50,-53.8356,37.6055,134.81,1.4917,3.2434,5.1837,-5.1173,-4.0314,3.2686,7.2840,0.0229,-5.1636,-0.5223,-53.8356,37.6055
001,1,5,50,51,-53.6669,37.4394,135.03,1.4917,3.2434,5.1060,-5.0292,-1.1321,0.4776,7.1666,0.0579,-1.1380,-0.4633,-53.6669,37.4394
001,1,5,51,52,-53.4949,37.2699,135.27,1.4917,3.2434,5.1082,-5.0854,-1.6772,-0.9703,7.2078,0.0494,-0.4912,-1.8744,-53.4949,37.2699
001,1,5,52,53,-53.3260,37.1000,135.51,1.4917,3.2434,4.9940,-5.0940,-4.7255,0.5895,7.1336,-0.0073,-3.7321,-2.9578,-53.3260,37.1000
001,1,5,53,54,-53.1616,36.9300,135.73,1.4917,3.2434,4.7928,-5.0461,-5.3856,-0.6322,6.9589,-0.0905,-3.3067,-4.2977,-53.1616,36.9300
001,1,5,54,55,-53.0062,36.7633,135.95,1.4917,3.2434,4.6346,-5.1362,-0.1690,-3.3045,6.9139,-0.2402,2.2575,-2.4191,-53.0062,36.7633
001,1,5,55,56,-52.8523,36.5872,136.17,1.4917,3.2434,4.7815,-5.2666,4.8806,-2.1172,7.1106,-0.1982,4.9074,2.0544,-52.8523,36.5872
001,1,5,56,57,-52.6871,36.4118,136.33,1.4917,3.2434,4.9603,-5.2775,3.5081,-0.2248,7.2425,-0.0560,2.5849,2.3823,-52.6871,36.4118
001,1,5,57,58,-52.5213,36.2350,136.50,1.4917,3.2434,5.0156,-5.2816,1.6553,-0.2501,7.2837,0.0032,1.3208,1.0287,-52.5213,36.2350
001,1,5,58,59,-52.3524,36.0593,136.74,1.4917,3.2434,5.0708,-5.2941,1.3872,-0.8319,7.3305,0.0642,1.5566,0.4400,-52.3524,36.0593
001,1,-1,59,60,-52.1829,35.8817,136.98,1.4917,3.2434,5.1082,-5.3371,1.1770,-1.5862,7.3872,0.0929,1.9627,-0.2218,-52.1829,35.8817
001,1,-1,60,61,-52.0115,35.7032,137.24,1.4917,3.2434,5.1493,-5.4000,0.5317,-1.8608,7.4607,0.1141,1.7272,-0.8730,-52.0115,35.7032
001,1,-1,61,62,-51.8393,35.5214,137.47,1.4917,3.2434,5.1437,-5.4613,-0.3904,-1.1203,7.5016,0.0985,0.5616,-1.0451,-51.8393,35.5214
001,1,-1,62,63,-51.6682,35.3387,137.50,1.4917,3.2434,5.1233,-5.4748,-1.2981,0.6505,7.4977,0.0792,-1.3566,-0.5177,-51.6682,35.3387
001,1,-1,63,64,-51.4974,35.1560,137.65,1.4917,3.2434,5.0571,-5.4179,-2.6586,1.3806,7.4108,0.0870,-2.8114,-1.0345,-51.4974,35.1560
001,1,-1,64,65,-51.3307,34.9772,137.73,1.4917,3.2434,4.9459,-5.3826,-3.2887,0.1455,7.3098,0.0394,-2.3197,-2.3357,-51.3307,34.9772
001,1,-1,65,66,-51.1673,34.7968,137.86,1.4917,3.2434,4.8376,-5.4082,-3.3209,-1.1168,7.2560,-0.0415,-1.4000,-3.2118,-51.1673,34.7968
001,1,-1,66,67,-51.0079,34.6163,138.04,1.4917,3.2434,4.7243,-5.4572,-3.6629,-0.9999,7.2167,-0.1354,-1.7054,-3.3924,-51.0079,34.6163
001,1,-1,67,68,-50.8520,34.4326,138.28,1.4917,3.2434,4.5932,-5.4749,-1.8316,0.0564,7.1432,-0.2154,-1.2611,-1.3295,-50.8520,34.4326
001,1,-1,68,69,-50.7014,34.2509,138.53,1.4917,3.2434,4.6020,-5.4534,1.6203,0.9103,7.1338,-0.1627,0.3908,1.8169,-50.7014,34.2509
001,1,-1,69,70,-50.5449,34.0687,138.71,1.4917,3.2434,4.7013,-5.4142,1.2963,2.6375,7.1703,-0.0404,-1.1263,2.7144,-50.5449,34.0687
001,1,5,70,71,-50.3877,33.8896,138.93,1.4917,3.2434,4.6885,-5.2774,0.0645,2.8513,7.0589,0.0678,-2.1073,1.9218,-50.3877,33.8896
001,1,5,71,72,-50.2320,33.7165,139.15,1.4917,3.2434,4.7056,-5.2239,0.6630,-0.8560,7.0293,0.1429,1.0812,-0.0583,-50.2320,33.7165
001,1,5,72,73,-50.0736,33.5410,139.32,1.4917,3.2434,4.7328,-5.3345,0.2740,-3.6004,7.1305,0.1116,2.9089,-2.1392,-50.0736,33.5410
001,1,5,73,74,-49.9162,33.3606,139.43,1.4917,3.2434,4.7239,-5.4641,0.0312,-3.7931,7.2229,0.0343,2.9015,-2.4434,-49.9162,33.3606
001,1,5,74,75,-49.7584,33.1763,139.54,1.4917,3.2434,4.7349,-5.5876,0.1375,-1.6114,7.3239,-0.0230,1.3153,-0.9410,-49.7584,33.1763
001,1,5,75,76,-49.6002,32.9877,139.61,1.4917,3.2434,4.7331,-5.5717,-0.3247,0.7069,7.3106,-0.0052,-0.7488,0.2107,-49.6002,32.9877
001,1,5,76,77,-49.4425,32.8045,139.77,1.4917,3.2434,4.7132,-5.5405,-0.8206,-0.1048,7.2740,0.0204,-0.4499,-0.6942,-49.4425,32.8045
001,1,5,77,78,-49.2857,32.6179,139.99,1.4917,3.2434,4.6783,-5.5787,-0.8603,-0.3895,7.2807,-0.0037,-0.2548,-0.9093,-49.2857,32.6179
001,1,5,78,79,-49.1303,32.4322,140.15,1.4917,3.2434,4.6558,-5.5665,-0.4123,0.2419,7.2568,0.0075,-0.4499,-0.1615,-49.1303,32.4322
001,1,5,79,80,-48.9750,32.2465,140.36,1.4917,3.2434,4.6508,-5.5625,-0.4141,-1.2482,7.2505,0.0328,0.6970,-1.1152,-48.9750,32.2465
001,1,5,80,81,-48.8200,32.0610,140.59,1.4917,3.2434,4.6282,-5.6497,-0.7626,-2.5499,7.3034,-0.0106,1.4861,-2.2080,-48.8200,32.0610
001,1,5,81,82,-48.6662,31.8694,140.77,1.4917,3.2434,4.5999,-5.7327,-0.5789,-1.5528,7.3498,-0.0621,0.8368,-1.4305,-48.6662,31.8694
001,1,5,82,83,-48.5130,31.6785,140.94,1.4917,3.2434,4.5895,-5.7534,-0.3976,-0.6737,7.3594,-0.0612,0.2726,-0.7333,-48.5130,31.6785
001,1,5,83,84,-48.3599,31.4855,141.19,1.4917,3.2434,4.5734,-5.7777,-0.6314,1.8774,7.3684,-0.0568,-1.8587,0.6845,-48.3599,31.4855
001,1,5,84,85,-48.2078,31.2929,141.47,1.4917,3.2434,4.5474,-5.6281,0.2531,2.6248,7.2354,0.0521,-1.8958,1.8329,-48.2078,31.2929
001,1,5,85,86,-48.0564,31.1099,141.72,1.4917,3.2434,4.5902,-5.6025,0.3418,-1.9310,7.2416,0.1321,1.7275,-0.9281,-48.0564,31.1099
001,1,5,86,87,-47.9015,30.9190,142.03,1.4917,3.2434,4.5702,-5.7569,-1.9216,-1.8232,7.3502,0.0611,0.2551,-2.6366,-47.9015,30.9190
001,1,5,87,88,-47.7514,30.7257,142.35,1.4917,3.2434,4.4620,-5.7242,-2.4050,1.1116,7.2577,0.0369,-2.3491,-1.2254,-47.7514,30.7257
001,1,5,88,89,-47.6037,30.5370,142.67,1.4917,3.2434,4.4097,-5.6828,-1.2274,-0.1292,7.1928,0.0602,-0.6416,-1.0543,-47.6037,30.5370
001,1,5,89,90,-47.4572,30.3465,142.95,1.4917,3.2434,4.3801,-5.7328,-0.5263,-2.8633,7.2145,0.0416,1.9681,-2.1452,-47.4572,30.3465
001,1,5,90,91,-47.3114,30.1545,143.08,1.4917,3.2434,4.3746,-5.8738,-0.3931,-2.7685,7.3238,-0.0307,1.9773,-1.9772,-47.3114,30.1545
001,1,5,91,92,-47.1652,29.9545,143.22,1.4917,3.2434,4.3539,-5.9175,-1.0904,-0.6739,7.3464,-0.0565,-0.1132,-1.2768,-47.1652,29.9545
001,1,5,92,93,-47.0209,29.7596,143.40,1.4917,3.2434,4.3018,-5.9188,-1.8436,-0.4584,7.3166,-0.0758,-0.7313,-1.7533,-47.0209,29.7596
001,1,5,93,94,-46.8782,29.5595,143.52,1.4917,3.2434,4.2308,-5.9481,-1.9767,-0.9882,7.2981,-0.1351,-0.3808,-2.1769,-46.8782,29.5595
001,1,5,94,95,-46.7386,29.3626,143.65,1.4917,3.2434,4.1699,-5.9848,-0.9281,-1.3796,7.2918,-0.1882,0.5611,-1.5652,-46.7386,29.3626
001,1,5,95,96,-46.5999,29.1602,143.81,1.4917,3.2434,4.1689,-6.0402,1.0450,1.2416,7.3364,-0.2024,-0.3849,1.5765,-46.5999,29.1602
001,1,5,96,97,-46.4603,28.9596,144.04,1.4917,3.2434,4.2396,-5.9019,1.7869,3.7030,7.2668,-0.0345,-1.9478,3.6210,-46.4603,28.9596
001,1,5,97,98,-46.3170,28.7663,144.18,1.4917,3.2434,4.2882,-5.7931,0.5056,2.6096,7.2070,0.0870,-1.8201,1.9371,-46.3170,28.7663
