dataset_id,object_id,class_name,start_frame,end_frame,total_frames,mean_confidence,start_cx,start_cy,end_cx,end_cy,displacement,path_length,mean_speed,max_speed,static_ratio,is_static,filter_reason
cao_qiao_001,1,car,0,955,956,0.742737,480.610046,117.656069,3365.553711,39.523198,2886.001506,4638.251850,4.856808,8.603327,0.000000,False,
cao_qiao_001,2,car,0,575,576,0.756016,2947.898865,106.967369,980.626801,990.595398,2156.607954,2259.687207,3.929891,8.565373,0.121739,False,
cao_qiao_001,4,car,0,206,207,0.753023,1140.463379,1170.849731,1558.754028,2130.097778,1046.481669,1060.927018,5.150131,8.015021,0.000000,False,
cao_qiao_001,6,car,0,95,96,0.727830,1394.768982,1647.562500,1551.755707,2133.360962,510.534012,520.929120,5.483464,7.500257,0.000000,False,
cao_qiao_001,7,car,0,15,16,0.721440,814.763824,96.276231,717.205536,40.631110,112.312061,112.708302,7.513887,10.580603,0.000000,False,
cao_qiao_001,8,car,0,259,260,0.737741,2654.429688,1239.849854,3435.835205,40.530591,1431.419323,1452.035428,5.606314,8.082191,0.000000,False,
cao_qiao_001,9,car,0,114,115,0.746010,1168.583496,267.220001,720.745697,40.599270,501.911994,510.060038,4.474211,6.695106,0.000000,False,
cao_qiao_001,10,car,0,465,463,0.689863,1175.793915,1387.392487,695.471954,218.954651,1263.311585,1296.689882,2.789579,4.743273,0.023810,False,
cao_qiao_001,12,truck,0,266,267,0.707998,2393.562500,337.990204,776.227631,82.141996,1637.446300,1729.183082,6.500688,22.252692,0.011278,False,
cao_qiao_001,27,car,1,52,26,0.521735,1281.336670,363.831314,1408.229043,348.790149,127.780714,128.365886,2.498301,4.549108,0.080000,False,
cao_qiao_001,30,van,27,27,1,0.303501,2723.579346,801.481018,2723.579346,801.481018,0.000000,0.000000,0.000000,0.000000,1.000000,False,
cao_qiao_001,31,car,32,687,656,0.744016,3005.041138,53.906716,1614.403412,2133.475342,2501.695216,3294.537014,5.029828,7.685259,0.000000,False,
cao_qiao_001,40,car,168,215,20,0.404455,1709.224657,351.929013,1833.790670,351.241823,124.567909,129.486921,2.786507,10.877050,0.105263,False,
cao_qiao_001,42,van,197,236,7,0.317467,2723.656067,801.277893,2723.635620,801.413269,0.136911,0.340409,0.039141,0.114799,1.000000,False,
cao_qiao_001,53,car,316,699,193,0.523301,2096.043237,340.698604,3036.652954,152.111633,959.328768,987.602378,2.569146,7.950928,0.151042,False,
