recordingId,trackId,initialFrame,finalFrame,numFrames,startXCenter,startYCenter,endXCenter,endYCenter,startLaneId,endLaneId,width,length,class
001,1,0,955,956,-63.0151,45.5397,65.2335,48.5664,5,13,1.4917,3.2434,car
001,2,0,575,576,46.6392,45.5846,-40.8647,6.6118,7,3,1.5574,3.4445,car
001,3,0,206,207,-33.8544,-1.4084,-15.3883,-44.0893,2,4,1.5077,3.4732,car
001,4,0,95,96,-22.5923,-22.5950,-15.6415,-44.2137,2,4,1.5049,3.6330,car
001,5,0,15,16,-48.1524,46.4338,-52.4780,48.9091,-1,-1,1.5673,3.9351,car
001,6,0,259,260,33.4441,-4.6921,68.3532,48.4717,2,12,1.5104,3.3875,car
001,7,0,114,115,-32.4940,38.7777,-52.2806,48.9083,-1,-1,1.5025,3.8840,car
001,8,0,465,466,-32.3241,-11.0193,-53.5121,40.9778,3,5,1.0872,2.4271,car
001,9,0,266,267,21.9803,35.4075,-49.7835,47.0341,7,-1,2.1475,8.8791,truck
001,10,0,9,10,12.7854,-23.2778,12.7701,-23.2680,1,1,0.8371,1.4998,car
001,11,0,6,7,-20.6366,30.1333,-20.6470,30.1379,9,9,0.6980,0.9734,pedestrian
001,12,0,517,489,37.2098,41.1860,-16.4920,-39.1458,7,4,0.8256,1.3534,motor
001,13,0,17,18,-27.1730,34.4665,-25.3407,34.7036,-1,-1,0.6942,0.8335,people
001,14,0,4,5,25.6094,-24.5663,25.8556,-24.0695,11,11,0.8723,1.2792,people
001,15,0,107,61,-27.5457,34.4235,-15.5372,34.9895,-1,6,1.0114,2.3870,tricycle
001,16,0,131,132,-17.7246,-24.9577,-17.8109,-24.8048,2,2,0.8661,1.3594,pedestrian
001,17,1,52,30,-27.9131,34.3683,-21.8136,35.0875,-1,-1,1.1010,2.3440,car
001,18,1,6,6,-20.7256,29.4424,-20.7355,29.4420,9,9,0.7869,1.1057,pedestrian
001,19,18,92,75,-25.0858,34.7448,-16.9009,35.0379,-1,6,0.7120,0.7554,people
001,20,27,27,1,36.5741,14.7730,36.5741,14.7730,-1,-1,1.8220,6.3443,van
001,21,32,687,656,49.2125,47.9505,-12.8960,-44.3323,7,8,1.5474,3.5282,car
001,22,45,145,82,-38.5106,2.0448,-33.9421,-6.0543,3,3,0.9936,1.2724,motor
001,23,118,214,54,16.7766,-38.5225,25.9914,-22.4340,-1,2,0.9327,1.2940,motor
001,24,157,162,6,-9.5873,34.8698,-9.1401,34.8683,6,6,1.0459,2.4047,tricycle
001,25,165,185,21,-8.4202,34.8811,-6.0666,34.8786,6,6,0.7299,0.7425,people
001,26,168,215,32,-8.4661,34.9123,-3.9093,34.9077,6,6,1.1876,2.3506,car
001,27,182,183,2,-31.7038,-11.5946,-31.6414,-11.6887,3,3,0.8238,1.4878,motor
001,28,197,236,13,36.5781,14.7833,36.5762,14.7765,-1,-1,1.9283,6.4426,van
001,29,205,205,1,38.6141,0.5874,38.6141,0.5874,12,12,0.7840,1.3184,motor
001,30,213,216,4,-20.7112,29.4178,-20.6900,29.4263,9,9,0.7718,1.1183,pedestrian
001,31,215,216,2,-20.5972,30.1600,-20.5972,30.1545,9,9,0.6901,0.9762,pedestrian
001,32,243,304,62,40.4288,5.5284,44.2278,12.8796,12,12,0.9749,1.3211,motor
001,33,262,263,2,-20.6220,30.1745,-20.6350,30.1745,9,9,0.6657,0.9302,pedestrian
001,34,281,281,1,33.1700,-11.7667,33.1700,-11.7667,11,11,2.0247,2.1885,pedestrian
001,35,291,334,15,6.3778,35.1979,9.0161,35.4095,6,6,1.1617,2.2745,tricycle
001,36,305,576,254,-17.7919,-24.7967,-17.8760,-24.8118,2,2,0.8663,1.3566,pedestrian
001,37,316,416,101,8.7132,35.3435,19.9467,36.8305,6,6,1.2075,2.4855,car
001,38,326,327,2,-20.7306,30.1948,-20.7448,30.1964,9,9,0.7005,0.9629,pedestrian
001,39,340,649,285,37.4159,0.2461,66.5509,45.5461,12,12,1.0065,1.3053,motor
